id,title,description,availability,condition,price,link,image_link,brand
684983E2B0F92_Black_5_ignored-high-top-shoes,Ignored High Top Shoes – Black 5,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_5.jpg,Typowear
684983E2B0F92_Black_5.5_ignored-high-top-shoes,Ignored High Top Shoes – Black 5.5,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_5.5.jpg,Typowear
684983E2B0F92_Black_6_ignored-high-top-shoes,Ignored High Top Shoes – Black 6,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_6.jpg,Typowear
684983E2B0F92_Black_6.5_ignored-high-top-shoes,Ignored High Top Shoes – Black 6.5,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_6.5.jpg,Typowear
684983E2B0F92_Black_7_ignored-high-top-shoes,Ignored High Top Shoes – Black 7,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_7.jpg,Typowear
684983E2B0F92_Black_7.5_ignored-high-top-shoes,Ignored High Top Shoes – Black 7.5,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_7.5.jpg,Typowear
684983E2B0F92_Black_8_ignored-high-top-shoes,Ignored High Top Shoes – Black 8,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_8.jpg,Typowear
684983E2B0F92_Black_8.5_ignored-high-top-shoes,Ignored High Top Shoes – Black 8.5,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_8.5.jpg,Typowear
684983E2B0F92_Black_9_ignored-high-top-shoes,Ignored High Top Shoes – Black 9,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_9.jpg,Typowear
684983E2B0F92_Black_9.5_ignored-high-top-shoes,Ignored High Top Shoes – Black 9.5,Ignored High Top Shoes from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-high-top-shoes,https://www.typotecture.com/images/ignored-high-top-shoes_black_9.5.jpg,Typowear
